Likes FANPAGE  ;1
Likes PHOTO ;1
Likes PHOTO OR COMMENT ;1
Facebook Votes in your website ;1
Facebook Followers ;1
FACEBOOK SHARES POST OR PHOTO ;1
FACEBOOK GROUP MEMBERS ;1
FACEBOOK ACCOUNTS WITH FRIENDS;1
Twitter followers ;2
Twitter RETWEETS ;2
Twitter Favourites ;2
